JANTINA,POSKOD_R,BAYARAN ZAKAT KESELURUHAN
L,18300,200
,,60
L,47301,6000
P,68000,1200
L,68100,3000
P,77300,336
L,40150,20000
L,68000,500
P,68100,1100
P,57100,308.45
L,68000,225
P,68100,1046.95
P,43200,1100
L,47100,903
P,47400,2400
P,40100,5340
L,86800,1206
L,47500,15000
P,,240
P,,1950
P,54200,1200
L,53200,5000
P,56100,840
L,13700,2400
L,,1080
L,68100,3550
L,43300,9107
L,53300,3108
L,62300,60
L,60000,23417
P,,1608
P,55100,60
L,43900,600
P,59100,480
P,43200,28981.5
L,68000,13354
P,48020,336
P,41000,960
,68100,2000
L,70400,1150
L,54200,120
L,47830,4750
L,70300,1979
L,56100,2000
L,54000,26000
L,43300,3250
L,56000,50
L,46000,2800
P,40100,1606
L,43650,2004
P,55100,1000
P,57100,900
P,43000,500
P,47180,1980
L,62250,3440
L,62502,400
L,45300,1000
L,43300,440
P,56100,600
P,72200,394
P,52100,954
P,72200,3850
L,51000,1000
L,43000,2000
L,56000,636
L,60000,60000
L,54200,500
L,68000,8610
P,43300,54
P,47810,5950
L,42200,880
L,53300,600
P,48000,2089.35
P,88900,480
P,68100,2000
P,,550
L,60000,17000
L,47810,2000
L,60000,3000
L,43300,5000
L,71760,3360
L,43000,1200
P,53100,2200
P,43300,840
P,47180,2400
P,56000,3600
,54200,1500
L,68100,800
L,59200,2970
L,47301,12369
P,51100,2070
P,34200,120
P,,408
L,53300,600
L,43300,22000
L,40150,1452
P,68100,312
L,43000,600
P,53100,10500
L,60000,19100
L,60000,25000
L,,528
L,54200,1552
L,50480,10000
L,11200,78770
L,47810,1070
L,62502,200
P,,960
L,55300,1080
L,68000,500
L,56000,2500
P,47301,28416.6
L,40000,20000
P,53200,613
L,47100,720
P,57100,200
L,16250,700
P,53300,1510
P,51100,160
L,60000,55000
P,52200,19920
P,70450,2048
L,53100,1342
L,33800,21200
L,55200,800
L,53100,240
L,70300,1320
L,43200,6000
L,54200,18000
P,,600
L,46200,22500
L,41200,360
L,53100,16000
L,68100,1200
P,,240
P,34140,1200
L,50490,24000
L,56000,1891
P,51200,1710
L,,5415
P,,3478.4
P,68100,6500
P,,1900
P,47800,26000
P,,1440
P,60000,7500
P,43900,12000
L,62250,1209
L,56000,9
L,55100,1154
P,68100,480
P,53300,1245
P,53300,1200
L,51000,1000
L,56000,2000
,50603,3000
L,47100,31493
L,53300,156
L,68000,1200
L,68000,82943.11
P,55100,2977
L,68000,5330
L,51200,3700
L,43650,30000
L,,1920
P,,2400
L,40000,600
P,53300,600
P,54200,50
L,,2735.4
P,2700,600
L,48020,27600
L,53100,1000
P,,3130
L,40150,10000
L,52100,1000
L,47000,500
P,54200,14000
L,54200,270
P,47180,12000
L,26600,1650
L,47650,901.25
P,53300,600
L,59000,10000
P,51200,852
L,43200,4800
P,55100,1200
L,48050,1200
L,43000,1800
L,68100,50
P,43000,600
P,56000,2500
P,68100,1355
L,,600
P,56000,4000
L,53300,1000
P,,601.56
P,43500,1080
P,54200,360
L,48020,2160
L,68100,3600
P,70400,1800
L,60000,6640
P,53100,600
L,57000,1900
L,68000,600
L,54000,484
P,52200,220
P,68100,1510
P,52100,100
P,53100,5030
L,,360
P,43200,3000
L,43000,2100
P,43200,275
L,54100,1500
P,51000,3500
P,53100,420
L,56100,850
L,43900,250
L,42500,1800
P,43000,300
L,43900,1400
L,47300,560
P,57000,80
P,43200,460
P,68100,3000
L,62250,2095.8
P,68100,15
L,26100,140
P,55300,2523
P,68100,34544
P,43300,1290
P,68000,6063
L,43700,1800
P,50490,3600
L,50490,1700
P,25150,480
L,16200,456
P,,10800
L,47000,1200
L,,110
P,54200,3000
P,54200,135
L,58200,360
L,68000,20000
L,68000,3500
L,53100,3450
P,40100,280.92
L,56000,2360.34
L,68100,219.11
P,50300,1540
P,,288
L,43100,10000
P,,780
P,56100,1200
P,52200,200
P,68100,2000
P,47600,12000
L,43000,6684
P,43000,1200
P,43200,3500
L,40170,638
P,70400,1800
P,47100,238
P,87020,1100
L,42610,179
P,54200,13352.71
P,58200,550
,53300,19477
P,68000,1100
P,60000,1300
P,,110
L,53300,600
L,,1850
L,47810,6130
L,54200,300
P,54200,5600
P,,216
L,,1200
P,41050,1750
P,43300,8820
L,57100,570
L,,2100
L,47100,600
P,40000,4180
P,56100,462
L,53100,420
L,32600,100
L,53000,150
P,62050,3600
L,56000,1600
L,62050,1320
P,68100,1200
P,53000,8000
P,51000,900
P,46350,17500
P,75050,1440
L,68100,3800
P,50300,200
L,68100,120
P,40150,1200
P,75460,240
P,43300,756
P,56000,500
P,40150,1100
L,31350,1200
L,53300,110
L,52100,26100
L,52200,270
L,54200,10495.1
L,68100,100
P,43000,2400
P,53300,10000
L,56100,600
P,43000,1100
P,68000,6972
L,68000,7000
P,68100,3500
P,40100,1200
L,53100,360
P,47100,10.8
P,43000,400
P,47500,4900
L,,600
P,,360
L,,12079.05
L,54200,1181
L,43650,500
L,,4400
P,68100,2250
L,43300,1200
L,62502,54
L,60000,20042
L,,48264
L,68100,3500
P,40160,10000
L,,297
